,GDate,CodOfBuyer,CodOfSeller,Value,Valume
53308,2022-04-26,802577,450647,1533474862,268822
53318,2022-04-26,802577,375505,3142305539,410817
53321,2022-04-26,802577,217194,2501404347,300500
53410,2022-04-26,557286,732282,2434114899,299365
53468,2022-04-26,557286,163989,4808720288,655263
53489,2022-04-26,557286,221328,1727674610,232330
53521,2022-04-26,557286,126353,1689966210,243952
53559,2022-04-26,564910,375505,1305287512,192846
53568,2022-04-26,564910,217194,2079910846,330646
53609,2022-04-26,782768,247309,1105473655,235109
53736,2022-04-26,763381,163989,1247462197,168350
53758,2022-04-26,795763,203299,2477483262,416116
53971,2022-04-27,870083,163989,1144009413,229084
54038,2022-04-27,828028,126353,1290314207,316228
54364,2022-04-27,388677,217194,1221614441,270880
